"Accuracy","Precision","Recall","F1_Score","AUC_ROC","AUC_PR","classifier","dataset","model","method"
0.919023136246787,0.968390804597701,0.866323907455013,0.914518317503392,0.954659300427568,0.940075276466625,"Naive Bayes","book","Deepseek","CS (('0.2', '50'))"
0.99125,0.99746835443038,0.985,0.991194968553459,0.99921875,0.99917790472145,"Random Forest","wikinews","Deepseek","CS (('0.2', '50'))"
0.99125,0.99746835443038,0.985,0.991194968553459,0.99705,0.995496043007269,"Logistic Regression","wikinews","Deepseek","CS (('0.2', '50'))"
0.9925,0.997474747474748,0.9875,0.992462311557789,0.997625,0.99671189628357,"Naive Bayes","wikinews","Deepseek","CS (('0.2', '50'))"
0.948473282442748,0.940074906367041,0.958015267175573,0.948960302457467,0.987041839053668,0.980253725787306,"Random Forest","wikitext","Deepseek","CS (('0.2', '50'))"
0.927480916030534,0.986956521739131,0.866412213740458,0.922764227642276,0.924640172484121,0.82392305327712,"Logistic Regression","wikitext","Deepseek","CS (('0.2', '50'))"
0.935114503816794,0.978991596638656,0.889312977099237,0.932,0.96436687838704,0.954539546308803,"Naive Bayes","wikitext","Deepseek","CS (('0.2', '50'))"
0.991002570694087,0.992268041237113,0.989717223650386,0.990990990990991,0.99816945433879,0.99878067456581,"Random Forest","book","Deepseek","CS (('0.4', '10'))"
0.98586118251928,0.997368421052632,0.974293059125964,0.985695708712614,0.983967856411205,0.943709256414611,"Logistic Regression","book","Deepseek","CS (('0.4', '10'))"
0.983290488431877,0.989583333333333,0.976863753213368,0.983182406209573,0.99444888680355,0.992519253951155,"Naive Bayes","book","Deepseek","CS (('0.4', '10'))"
0.84875,0.878048780487805,0.81,0.842652795838752,0.914840625,0.885549050255769,"Random Forest","wikinews","Deepseek","CS (('0.4', '10'))"
0.71375,0.797909407665505,0.5725,0.666666666666667,0.7026875,0.577018409495024,"Logistic Regression","wikinews","Deepseek","CS (('0.4', '10'))"
0.81,0.936619718309859,0.665,0.777777777777778,0.912,0.886897204283822,"Naive Bayes","wikinews","Deepseek","CS (('0.4', '10'))"
0.91412213740458,0.900369003690037,0.931297709923664,0.915572232645403,0.97664763125692,0.971950123192879,"Random Forest","wikitext","Deepseek","CS (('0.4', '10'))"
0.927480916030534,0.966666666666667,0.885496183206107,0.924302788844621,0.951051803507954,0.88272439873942,"Logistic Regression","wikitext","Deepseek","CS (('0.4', '10'))"
0.923664122137405,0.970338983050847,0.874045801526718,0.919678714859438,0.964483421712021,0.948884087457726,"Naive Bayes","wikitext","Deepseek","CS (('0.4', '10'))"
0.966580976863753,0.981432360742706,0.951156812339332,0.966057441253264,0.987724770520946,0.982861964557252,"Random Forest","book","Deepseek","CS (('0.4', '3'))"
0.948586118251928,0.975476839237057,0.920308483290488,0.947089947089947,0.982249654707542,0.948836319833013,"Logistic Regression","book","Deepseek","CS (('0.4', '3'))"
0.962724935732648,0.971204188481675,0.953727506426735,0.962386511024643,0.992697642759432,0.992157626051297,"Naive Bayes","book","Deepseek","CS (('0.4', '3'))"
0.945,0.942786069651741,0.9475,0.945137157107232,0.978315625,0.963564849842268,"Random Forest","wikinews","Deepseek","CS (('0.4', '3'))"
0.94875,0.966233766233766,0.93,0.947770700636943,0.9737125,0.950279863346456,"Logistic Regression","wikinews","Deepseek","CS (('0.4', '3'))"
0.95375,0.961832061068702,0.945,0.953341740226986,0.98353125,0.973311014812499,"Naive Bayes","wikinews","Deepseek","CS (('0.4', '3'))"
0.988549618320611,0.992307692307692,0.984732824427481,0.988505747126437,0.994842957869588,0.990191181122038,"Random Forest","wikitext","Deepseek","CS (('0.4', '3'))"
0.984732824427481,0.984732824427481,0.984732824427481,0.984732824427481,0.995979255288153,0.992457486133757,"Logistic Regression","wikitext","Deepseek","CS (('0.4', '3'))"
0.984732824427481,0.984732824427481,0.984732824427481,0.984732824427481,0.996358021094342,0.993850953509097,"Naive Bayes","wikitext","Deepseek","CS (('0.4', '3'))"
0.998714652956298,1,0.997429305912596,0.998712998712999,0.999890960276498,0.999888315161934,"Random Forest","book","Deepseek","CS (('0.4', '15'))"
0.998714652956298,1,0.997429305912596,0.998712998712999,0.998519703147613,0.99780421863556,"Logistic Regression","book","Deepseek","CS (('0.4', '15'))"
0.997429305912596,0.997429305912596,0.997429305912596,0.997429305912596,0.996874194592951,0.995357720732641,"Naive Bayes","book","Deepseek","CS (('0.4', '15'))"
0.955,0.95959595959596,0.95,0.954773869346734,0.978753125,0.977282816291598,"Random Forest","wikinews","Deepseek","CS (('0.4', '15'))"
0.9125,0.955801104972376,0.865,0.908136482939633,0.94569375,0.906332920500625,"Logistic Regression","wikinews","Deepseek","CS (('0.4', '15'))"
0.90125,0.962536023054755,0.835,0.894243641231593,0.96430625,0.963429038293121,"Naive Bayes","wikinews","Deepseek","CS (('0.4', '15'))"
0.864503816793893,0.863117870722433,0.866412213740458,0.864761904761905,0.927153137929025,0.913151470983569,"Random Forest","wikitext","Deepseek","CS (('0.4', '15'))"
0.797709923664122,0.897959183673469,0.67175572519084,0.768558951965066,0.817740807645242,0.699755281447339,"Logistic Regression","wikitext","Deepseek","CS (('0.4', '15'))"
0.788167938931298,0.931428571428571,0.622137404580153,0.745995423340961,0.892503350620593,0.881444932002411,"Naive Bayes","wikitext","Deepseek","CS (('0.4', '15'))"
0.993573264781491,0.994845360824742,0.992287917737789,0.993564993564994,0.998232234785654,0.996555827242651,"Random Forest","book","Deepseek","CS (('0.4', '20'))"
0.991002570694087,1,0.982005141388175,0.990920881971466,0.996312474805215,0.989278881938504,"Logistic Regression","book","Deepseek","CS (('0.4', '20'))"
0.994858611825193,0.994858611825193,0.994858611825193,0.994858611825193,0.998856735020255,0.998712438100659,"Naive Bayes","book","Deepseek","CS (('0.4', '20'))"
0.92875,0.950131233595801,0.905,0.927016645326505,0.962196875,0.953703196541113,"Random Forest","wikinews","Deepseek","CS (('0.4', '20'))"
0.675,0.681347150259067,0.6575,0.669211195928753,0.68814375,0.556333119532755,"Logistic Regression","wikinews","Deepseek","CS (('0.4', '20'))"
0.8075,0.924137931034483,0.67,0.776811594202899,0.9246375,0.925712229349378,"Naive Bayes","wikinews","Deepseek","CS (('0.4', '20'))"
0.99618320610687,0.99618320610687,0.99618320610687,0.99618320610687,0.999985432084377,0.999985459815204,"Random Forest","wikitext","Deepseek","CS (('0.4', '20'))"
0.998091603053435,1,0.99618320610687,0.998087954110899,0.999985432084377,0.999985459815204,"Logistic Regression","wikitext","Deepseek","CS (('0.4', '20'))"
0.988549618320611,1,0.977099236641221,0.988416988416988,0.999970864168755,0.999970864027271,"Naive Bayes","wikitext","Deepseek","CS (('0.4', '20'))"
0.969151670951157,0.976501305483029,0.961439588688946,0.968911917098446,0.992823203653161,0.991001563304612,"Random Forest","book","Deepseek","CS (('0.4', '5'))"
